,index,idle_time,cycle_count,steps
0,pipel_5,0.0,0.0,1450.62
1,pipel_10,0.0,0.0,1415.62
2,pipel_15,9.9,4.9,1440.02
3,pipel_20,21.62,6.34,1425.78
4,pipel_25,57.54,10.08,1456.74
5,pipel_30,159.3,37.42,1507.78
6,pipel_35,286.68,44.78,1562.84
7,pipel_40,394.0,47.4,1616.54
8,pipel_45,739.2,97.74,1790.66
9,pipel_50,806.64,86.62,1825.54
10,pipel_55,910.3,85.78,1889.26
11,pipel_60,1250.2,131.56,2070.74
12,pipel_65,1537.18,130.04,2188.48
13,pipel_70,1609.24,123.32,2252.54
14,pipel_75,1788.16,148.98,2319.22
